כותרת,תיאור,תאריך,משך,צפיות,קטגוריה,סוג סרטון,מזהה יוטיוב,קישור סרטון,תמונה ממוזערת,חדש,מוצג בעמוד הבית,קישורים קשורים,קטגוריות,תגיות,תאריך יצירה,תאריך עדכון אחרון,נוצר על ידי,עודכן על ידי,סטטוס,מזהה קישור
"פרשת יתרו, יום חתונתו",,,,,12,youtube,yFll9ibsNaU,,https://img.youtube.com/vi/yFll9ibsNaU/hqdefault.jpg,,,,,,3/25/2026 11:19am,4/15/2026 6:23am,6,6,פעיל,yitro-parsha-his-wedding-day
"פרשת כי תשא, כפרת מחצית השקל",,,,,12,youtube,nUxKXvkMWlA,,https://img.youtube.com/vi/nUxKXvkMWlA/hqdefault.jpg,,,,,,3/25/2026 11:19am,4/15/2026 6:23am,6,6,פעיל,ki-tisa-half-shekel-atonement
פרשת בעלותך,,,,,12,youtube,DSgyGOVPxBA,,https://img.youtube.com/vi/DSgyGOVPxBA/hqdefault.jpg,,,,,,3/25/2026 11:20am,4/15/2026 6:23am,6,6,פעיל,parashat-behaalotcha
פרשת שלח לך,,,,,12,youtube,klO9cAMxHJg,,https://img.youtube.com/vi/klO9cAMxHJg/hqdefault.jpg,,,,,,3/25/2026 11:20am,4/15/2026 6:23am,6,6,פעיל,parashat-shelach-lecha
מצה על שום מה,,,,,3,youtube,ycOXhUeratU,,https://img.youtube.com/vi/ycOXhUeratU/hqdefault.jpg,checked,,,,,3/25/2026 11:22am,4/15/2026 6:23am,6,6,פעיל,matza-al-shum-ma
פסח בימי יאשיהו המלך,,,,,3,youtube,K7FVidGbEpc,,https://img.youtube.com/vi/K7FVidGbEpc/hqdefault.jpg,checked,,,,,3/25/2026 11:23am,4/15/2026 6:23am,6,6,פעיל,pesach-in-days-of-king-josiah
בין ראשון לשביעי של פסח,,,,,3,youtube,QFhW-ol0lUg,,https://img.youtube.com/vi/QFhW-ol0lUg/hqdefault.jpg,checked,,,,,3/25/2026 11:24am,4/15/2026 6:23am,6,6,פעיל,bein-rishon-leshvi-i-shel-pesach
המרגלים,,,,,4,youtube,bibJa29eQAA,,https://img.youtube.com/vi/bibJa29eQAA/hqdefault.jpg,,,,,,3/25/2026 11:26am,4/15/2026 6:23am,6,6,פעיל,hameraglim
שמש בגבעון דום וירח בעמק אילון,,2022-02-21,,,4,youtube,msVZqU0_KMI,,https://img.youtube.com/vi/msVZqU0_KMI/hqdefault.jpg,,,,,,3/25/2026 11:30am,4/15/2026 6:23am,6,6,פעיל,shemesh-begivon-dom-veyareach
העיר יריחו,,,,,4,youtube,9pWtNxTUbbY,,https://img.youtube.com/vi/9pWtNxTUbbY/hqdefault.jpg,,,,,,3/25/2026 11:31am,4/15/2026 6:23am,6,6,פעיל,the-city-of-jericho
תפילת חנה,,,,,4,youtube,5YE_KBdaBbE,,https://img.youtube.com/vi/5YE_KBdaBbE/hqdefault.jpg,,,,,,3/25/2026 11:32am,4/15/2026 6:23am,6,6,פעיל,tefilat-chana
שמשון הגבור,,2023-05-05,,,4,youtube,fmxwPKM1XvM,,https://img.youtube.com/vi/fmxwPKM1XvM/hqdefault.jpg,,,,,,3/25/2026 11:32am,4/15/2026 6:23am,6,6,פעיל,shimshon-hagibor
שיחת התעוררות ליום כיפור,,,,,3,youtube,b6RK-LjMpbU,,https://img.youtube.com/vi/b6RK-LjMpbU/hqdefault.jpg,,,,,,3/25/2026 11:33am,4/15/2026 6:23am,6,6,פעיל,sichat-hitorerut-yom-kippur
מה רגשו גויים?! על מערכות ישראל ופלישתים,,2025-02-28,,,4,youtube,ZTVHkDJ7k3E,,https://img.youtube.com/vi/ZTVHkDJ7k3E/hqdefault.jpg,,,,,,3/25/2026 11:37am,4/15/2026 6:23am,6,6,פעיל,what-did-nations-feel-israel-philistines
"שבוע חזרה שיעור כללי הרב הראשי לישראל הגאון הרב קלמן מאיר בר שליט""א ישיבת הכותל",,,,,11,youtube,KzBvqLbzIsk,,https://img.youtube.com/vi/KzBvqLbzIsk/hqdefault.jpg,,,,,,3/25/2026 11:37am,4/15/2026 6:23am,6,6,פעיל,chief-rabbi-kalman-meir-bar-shiur
"• שבוע חזרה - מסכת בבא קמא שיעור כללי הרב הראשי לישראל הגאון הרב קלמן מאיר בר שליט""א ישיבת הכותל",,,,,11,youtube,trjHf5WUbQk,,https://img.youtube.com/vi/trjHf5WUbQk/hqdefault.jpg,,,,,,3/25/2026 11:38am,4/15/2026 6:23am,6,6,פעיל,shavua-chazara-bava-kama-klali-kotel
• הרב קלמן בר כל המתאבל על ירושלים זוכה ורואה בשמחתה אהבת ישראל מבית ישיבת הכותל,,,,,3,youtube,3xfZPP5DLC4,,https://img.youtube.com/vi/3xfZPP5DLC4/hqdefault.jpg,,,,,,3/25/2026 11:39am,4/15/2026 6:23am,6,6,פעיל,kalman-bar-mourns-jerusalem-yeshivat-kotel
והגדת לבנך,שיעור מקיף על מצוות והגדת לבנך,2026-03-24,59:55,,3,youtube,v=DJUwAfH_qx4,,https://img.youtube.com/vi/v=DJUwAfH_qx4/hqdefault.jpg,,,,,,4/13/2026 1:22pm,4/13/2026 1:22pm,5,5,פעיל,vehigadeta-levincha
