כותרת,מזהה קישור,כתב עת,מוסד,שנה עברית,שנה לועזית,תגיות,קטגוריה,זמן קריאה,תוכן מלא,תקציר,קישור PDF,נקודות מפתח,מקורות,מזהה מאמר,תאריך יצירה,תאריך עדכון אחרון,סטטוס,נוצר על ידי,עודכן על ידי
איזהו מכובד? המכבד את הבריות.,who-is-honored-honors-others,,,"""תשפ""""ו""",2026,חנוכה,1,7 דקות,"איזהו מכובד? המכבד את הבריות
הרה""ג קלמן מאיר בר שליט""א
הרב הראשי נתניה
 
הגאון רבי איסר זלמן מלצר זצ""ל כיהן כראש ישיבת ""עץ חיים"" בירושלים, והיה בוחן מידי פעם את תלמידי ה""תלמוד תורה"" שעל יד הישיבה .
פעם שאל רבי איסר זלמן שאלה, ותלמיד ענה תשובה שגויה. הבין התלמיד הבנה שגויה בדברי התוספות . רבי איסר זלמן האיר לו פנים ואמר ""ודאי לכך נתכוונת"" – והשמיע את הפירוש הנכון, כדי לשמור על כבודו של הילד. אך הילד בעיקשותו , אמר לו : ""הרב טועה! לא לדברים הללו נתכוונתי"" , וחזר על טעותו.
הגאון הישיש, בסבלנות אין קץ, אמר: ""ודאי הצדק איתך! התכוונת לומר כך וכך"" והתלמיד משתומם: אני רואה שהרב לא מבין אותי"" ,וחוזר על טעותו. והילדים מגחכים ..
קם רבי איסר זלמן והתנצל ""עלי לצאת לדקות ספורות"". יצא וסגר אחריו את הדלת. הסתקרן אחד המלמדים, ופתח מעט את הדלת כדי להציץ, ראה את הרב צועד במסדרון ומשנן לעצמו ""גם לילדים נצטווינו בכבוד הבריות"" . כעבור מספר דקות פתח את הדלת , והסביר ברוגע עד שהילד הבין והודה וחילצו מן הבושה.
נמצאים אנו בימי ספירת העומר, בהם אנו מציינים את מידת הדין שפגעה בעשרים וארבעה אלף תלמידי רבי עקיבא, על שלא נהגו כבוד זה בזה. לפעמים סבורים אנו ש""כבוד"" זה רק בין תלמיד לרב . כבוד אישה . אך צריך לדעת שיש גם ""כבוד תלמיד"", ""כבוד הילד"" . הן כך אמרו חכמים "" יהי כבוד תלמידך חביב עליך כשלך"" יסוד החינוך בנוי על קשר. אהבה וכבוד. לכבוד הילדים יש חלק מרכזי בחינוכם.   אדם חייב בכבוד תלמידו. משה רבנו אמר לתלמידו, יהושע בן-נון: ""בחר לנו אנשים"" (שמות יז ט). אומרים חז""ל (מכילתא מובא ברש""י שם): מכאן שהשווה משה רבנו עצמו לתלמידו, הוא צריך להיוועץ בתלמידו. כולנו חכמים, כולנו נבונים, כולנו יודעים את התורה, ועם זה יש להתייחס בכבוד לכל. אפילו הקדוש-ברוך-הוא נוֹעץ במלאכים: ""נעשה אדם"" (בראשית א כו). לשם מה הוא צריך לשתף את המלאכים? הוא זקוק לעצתם? אלא ללמדנו ענווה, שלעולם יימלך הגדול בקטן (רש""י שם) – משום כבודו, לכבד אותו. לאחר שכרת יעקב אבינו ברית עם לבן, כתוב: ""ויקרא לאחיו לאכֹל לחם"" (בראשית לא נד). והרי לא ידענו שיש לו אחים?! אומרים חז""ל: אלוּ בניו, ומשעה שהגיעו לכתפו – לגיל התבגרות, קוראם אחיו (קהלת רבה ט יא). 
""כמים הפנים לפנים""
לילד דרושה הרבה הערכה. הערכה חיצונית, שהיא ביטוי להערכה פנימית. פעמים רבות ההורים מתעלמים מחלקם החיוּני באמנה המשפחתית - כבוֹד ילדיהם - וזוכרים רק לתבוע מילדיהם כיבוד הורים. נכון, יש מצוות כיבוד אב ואם, אבל כיצד יכבד הילד את הוריו אם הוא עצמו אינו זוכה לכבוד והערכה!? ""כמים הפנים לפנים"" (משלי כז יט); עלינו לכבדו תחילה. כל המכבד את הבריות, מכובד על ידן.
יש להקרין כבוד. סוד החינוך הוא הדוגמה האישית, דווקא על-ידי שאנחנו מכבדים ומעריכים, שאנחנו יודעים שהוא יחיד ומיוחד ואין דומה לו בעולם, דווקא מתוך הערכתנו הכֵּנה אותו, תוך שאנו לומדים להכיר בכישרונותיו ולהוקירם – גם אצלו מתפתח יחס של כבוד אלינו. פעמים רבות הילד משמש לנו כמראה, המראה לנו בדיוק מה שאנחנו.
זה גם מה שיכול להיות הזרז המרכזי בעידוד הילדים לכבד את הוריהם, הוא דווקא הכבוד שאנחנו, ההורים, רוכשים להם.
כאשר אנו מכבדים את ילדינו, מתחשבים בהם, מדברים אליהם כמו לאדם מכובד, גם הם ילמדו   לדבר כך אלינו, להתייחס כך ולכבד .
הרה""ג אלעזר שמחה וסרמן זצ""ל (בן הגאון רבי אלחנן וסרמן הי""ד) אמר בעניין זה שהגדרתו זה הדו כיווניות של יחסי הורים וילדים יסוד עוצמתי שכולו אמת ""מצוות כיבוד הורים היא אחת מעשרת הדברות שנאמרו בסיני לעם היהודי כולו, והיא הבסיס הנצרך לתפקודו של הבית היהודי, לעומת זאת הציווי ""והגדת לבנך"" ניתן לעמנו עוד לפני שיצאו ממצרים והוא קודם לדברות בסיני, נוכחים אנו לדעת שהמסירה של ערכים מאב לבנו היחס של אב לבנו הוא היסוד ליחסי הכבוד מבן לאב""
לצערי אפשר לשמוע (ושמעתי) לא פעם מפי בנים בעת משבר את המשפטים הבאים: ""אבא למה מעולם לא שיבחת אותי בבית וגם לא אמא על מה שאני עושה עם עצמי בחיים, מעולם לא שמעתי ממך מילה טובה על התהליכים שעשיתי ואני עושה, אז אל תתפלא על מה שקורה איתי, ומה הקשר? אני יסביר! אם בבית אין לי תשומת לב, אז אני מחפש את זה במקום אחר ובדרך שלי...
לא ניתן לתבוע מילד לכבד את הוריו כאשר מוטיב הקשר ביניהם הוא בדרישת כבוד חד כיוונית. הילד לא זקוק לכבוד, הילד זקוק ליחס, להערכה, לחום, לתחושה שזקוקים לו, ילד שירגיש תחושות שכאלו (במינון הנכון) יכבד את הוריו ללא גבול, בסיס מצוות כיבוד הורים מחייב הקדמה של והגדת לבנך ולא במקרה זה כך, היחס חייב להתחיל בהשקעה של האב כלפי בנו ואז יבוא הכיבוד האינסופי של הבן להוריו. על כך אמר החכם מכל אדם:
כַּמַּיִם הַפָּנִים לַפָּנִים כֵּן לֵב הָאָדָם לָאָדָם","המאמר מדגיש כי כבוד אמיתי נבנה מהדדיות: כאשר הורים ומחנכים מעניקים לילדים יחס של כבוד, הערכה וחום, הילדים לומדים לכבד ולהעריך בחזרה. יסוד החינוך והקשר המשפחתי טמון בדוגמה אישית ובהשקעה ביחס לילד, ולא בדרישה חד-צדדית לכיבוד הורים.",https://drive.google.com/drive/folders/1yIUWC3-kliXhsw3PrNnHN5WSBETsTKaF,,,1,3/22/2026 1:36pm,4/15/2026 6:26am,פעיל,1,1
איך גורמים לילד להיות שמח,how-to-make-child-happy,,,"""תשפ""""ו""",2026,,1,7 דקות,"

איך גורמים לילד להיות שמח ?
הרה""ג קלמן מאיר בר שליט""א
הרב הראשי לנתניה

""משנכנס אדר מרבים בשמחה""

הורו לנו חז""ל: ""כשם שמשנכנס אב ממעטין בשמחה – כך משנכנס אדר מרבין בשמחה"" (תענית כט) אך אם נשים לב, בעוד שמיעוט השמחה בחודש אב, הגמרא מפרטת איך לעשות זאת באופן מעשי, הגמרא לא מציינת ביטוי השמחה באופן מעשי בחודש אדר.
אם נתבונן בפסוקי מגילת אסתר, נמצא איפוא כתוב: ""שעל כן היהודים הפרזים היושבים בערי הפרזות עשים את יום ארבעה לחודש אדר שמחה ומשתה"" אך בפסוק לאחר מכן, באגרות שכתב מרדכי לקבוע את החג לדורות, נאמר: ""לעשות אותם ימי משתה ושמחה"" בתחילה שמחה ומשתה, ואחר כך משתה ושמחה. את סיבת השינוי ביאר המגיד מדובנא, שכן באותו דור כאשר ראו את הנס, השמחה היתה ספונטנית, ולא היה צריך אמצעים חיצונים כדי לעורר את השמחה, והמשתה רק מהוה ביטוי לשמחה, ולכן כתוב שמחה ומשתה. לא כן בדורות מאוחרים, כדי לעורר את השמחה, צריך דברים חיצוניים, כדי לעורר את השמחה צריך משתה אכילה שתיה וכו', ולכן כתב מרדכי באגרותיו ""לקיים עליהם... לעשות אותם ימי משתה ושמחה""
דומה שאיגרת מרדכי יש בה ללמד אותנו בינה, כיצד ליצור שמחה בנו, בילדנו, בשעת עשיית המצוה.
הן אמת הרמב""ם כתב שאדם צריך להיות שמח בעשיית מצוה: ""השמחה שישמח אדם בעשיית המצוה ובאהבת האל שציוה בהן עבודה גדולה היא וכל המונע עצמו משמחה זו ראוי להפרע ממנו, שנאמר ""תחת אשר לא עבדת את ה' אלקיך בשמחה ובטוב לבב"" (רמב""ם זמנים הלכ' לולב פרק ח' הלכה טו) 
אך איך מגיעים להיות שמח בעשיית המצוה ?

הרמב""ם עצמו פרס את משנתו על כך, בפירושו למשניות בתחילת פרק י בסנהדרין, שתיאר בבהירות את חשיבות הבטחת הפרס או שכר על לימוד או על מעשה טוב.
וכך כותב הרמב""ם:
""שים דעתך כי נער קטן הביאוהו אצל המלמד ללמדו תורה, וזה אכן הטוב לו... אלא שהוא למעוט שניו וחולשת שכלו, אינו מבין מעלת אותו הטוב, לפיכך בהכרח המלמד שהוא יותר שלם יזרז בדברים שהם אהובים אצלו ויאמר לו קרא ואתן לך אגוזים או תאנים... וכשיגדיל ויחזיק שכלו... יזרז אותו באותו דבר החמוד לו, ויאמר לו קרא ואקח לך מנעלים יפים או בגדים חמודים... וכאשר יהיה שלם בשכלו יותר, ישים נפשו למה שהוא גדול מזה ואז יאמר לו רבו למוד פרשה זו או פרק זה ואתן לך דינר אחד""

אכן כך נהגו גדולי האומה, הגמ' במסכת בבא מציעא (פה ע""א) מספרת על רבי יהודה הנשיא, שהזדמן למקומו של רבי טרפון והתעניין אודות צאצאיו, אמרו לו בן אין לו אך יש לו נכד, וגם הוא התדרדר מאד מבחינה מוסרית. הביאהו לפני רבי יהודה הנשיא שאמר לו שאם יחזור בתשובה יתן לו את בתו לאשה, ואכן חזר בו. 
אכן זקוקים אנו לגורמים חיצונים כדי לגרום לשמחה בעבודת הא-ל ובודאי אצל ילדים.
זכורה לטוב אחת מבנותי שתחי', שראתה שכדי שהילדים ירתמו במרץ לסייע להכנת הבית ומטעמיו לכבוד שבת קודש, לא די לדבר על חשיבות המצוה ושאמוראים היו נוהגים כך, ואף לא השמעת השיר של אברהם פריד ""לכבוד שבת קודש"", כל אלו לא יצרו את המוטיבציה הראויה. או - אז החליטה שכל אחד יבחר במטעמי השבת הרצויים לו בליל שישי בחנות הסמוכה, וכדברי רבי נחמן מברסלב בליקוטי מוהר""ן: ""והעיקר להיות בשמחה תמיד, וישמח עצמו בכל מה שיוכל, ואפילו על ידי מילי דשטותא"" ותלמידו הגדול רבי נתן, העיד ששמע מפיו שאמר בזה הלשון: ""נראה שאי אפשר להגיע לשמחה אלא בהשתטות"" (לקוטי הלכות הלכות נפילת אפים ד,ה).
לפני כחודשיים נסתלק לשמי שמיא המשגיח הגה""צ רבי מתתיהו סלומון זצ""ל, המשגיח של ישיבות ליקוד וגייטסהד, המשגיח זצ""ל השפעתו הייתה עצומה בתוככי ארצות הברית. אך אחד הסיפורים שמאוד ""תפס אותי"" שהמסר הוא: איך מאהבים תורה, ואיך גורמים לשמחה בעשיית המצוות. היה זה לפני כשמונה שנים, ששיגעון הסאגווי הגיע גם לליקווד,  או אז ישב לו יהודי בליל הסדר, ומצפה שבנו בן ה-12 יחזיר את האפיקומן כדי שהאב יוכל לקיים את מצוות ""צפון"", אך לתדהמתו ה""בן יקיר"" הנ""ל דורש עבור האפיקומן סאגווי שעלותו כ 600 דולר. האבא הנדהם פרץ בשאגה ""סאגווי""? לא מצאת מתנה יותר ערכית? אך הילד בשלו, או סאגווי או אפיקומן. בצר לו הציע האבא שאחרי החג יגשו למשגיח וככל שיורה כך יעשו.
האב ובנו נכנסו בחול המועד לשאול את דעת תורה של המשגיח, והאב טוען בשמחה ארצה לקנות לו מתנה ""נורמלית"", אך לא מתנה ""מופרעת שכזו"". והבן מצידו טוען שלכמה מהחברים שלו, יש כבר סגאווי וגם הוא רוצה. ועכשיו הם שואלים דעת התורה! אך המשגיח ביקש, ""תנו לי זמן לחשוב על-כך"". לאחר זמן התקשר המשגיח הגה""צ הרב סלומון ואומר לאב: ""תקנה לו בבקשה את מה שהוא חפץ"" האב המופתע פונה למשגיח, אשמח לשמוע בקול דברי חכמים, אבל האם מותר לי להבין מה עומד מאחורי ההוראה הזאת ? ענה לו המשגיח: ""תראה, הבן שלך חווה פעם ראשונה את התהליך של פניה לרב לקבל חוות דעת תורה, חשוב לי מאוד שהפגישה הראשונה שלו עם מורה הוראה בישראל, תהיה פגישה חיובית כדי להאהיב זאת עליו"" שיחפוץ להמשיך ולהתייעץ עם רב מורה הוראה, משגיח וכד'
אכן נדרשים לעשות ימי  משתה כדי להגיע ""לימי שמחה"" 
נייחל שכשם שליהודים היתה אורה ושמחה וששון ויקר – כן תהיה לנו""   

","הרב קלמן מאיר בר מסביר שכדי לגרום לילד לשמוח, במיוחד בעשיית מצוות, יש להיעזר בגורמים חיצוניים כמו מתנות או חוויות חיוביות, בדומה למה שמובא במקורות ובדברי הרמב""ם. הוא מדגיש כי שמחה אמיתית בעבודת ה' מתפתחת בהדרגה, ולעיתים יש צורך באמצעים חיצוניים כדי לעורר אותה, במיוחד אצל ילדים.",,,,2,3/22/2026 7:26pm,3/29/2026 9:57pm,פעיל,1,1
מאי חנוכה?,what-is-hanukkah,,,"""תשפ""""ו""",2026,חנוכה,3,15 דקות,"מאי חנוכה?

""מהות השם ""חנוכה
שמו של מועד כשמו של אדם – מציין הוא את תוכנו ומהותו העיקריים. במקור השם ""חנוכה"", מה משמעותו ומה הוא בא לציין, דנו הראשונים והאחרונים. הר""ן כתב, שטעם חנוכה על שם החניה בכ""ה, אך לא ביאר חניה זו מה טיבה וממה הם חנו.
המהרש""א הבין, שהכונה לחניה ממלאכה, ואשר לכן הקשה:
""וקצת קשה דמאי חניה שייך הכא, כיון דהותר בהן מלאכה ולא ניתנה ליום טוב, אלא להלל ולהודות"". 
אמנם ה""לבוש"" כתב דהכוונה דחנו בכ""ה ממלאכה, והמהרש""א עצמו ביאר דחנוכה ע""ש חנוכת המזבח שבית חשמונאי טיהרו את המזבח משיקוצי היונים. 
""ונראה לפרש דנקרא חנוכה ע""ש חנוכת המזבח כדאמרינן בפרק ר' ישמעאל. דבית חשמונאי גנזו אבני מזבח ששקצו אנשי עו""ג לע""ז והוצרכו לבנות מזבח חדש, ולכך נקרא חנוכה"".
אבל בין אם החנוכה נקרא ע""ש חנוכת המזבח או ע""ש החניה ממלאכה, עדיין תקשה - אם זהו מהותו ועיקרו של חג החנוכה, מדוע צוין חג זה ע""י הדלקת הנרות? והיאך מתקשרת הדלקת הנרות למהותו של החג? 
גם דברי הגמ' במסכת שבת הקושרת את נס חנוכה לנס פך השמן, גם הוא יש בו מן הקושי:
""מאי חנוכה? דת""ר בכ""ה בכסלו יומי דחנוכה תמניא אינון דלא למספד בהון ודלא להתענות בהון, שנכנסו יונים להיכל טמאו כל השמנים ולא מצאו אלא פך אחד של שמן שהיה מונח בחותמו של כהן גדול ולא היה בו אלא להדליק יום אחד, נעשה בו נס והדליקו ממנו שמונה ימים"". 
וכבר הקשה המהר""ל מפראג, שלא מצינו חיוב הודיה על מי שלא היה ביכולתו לקיים מצוה ואחר-כך נתאפשר לו לקיימה.

דעת ""המור וקציעה"" 
פירוש חדש שלא שיערוהו הקודמים, אומר ר' יעקב עמדין בספרו ""מור וקציעה"" על-פי הנאמר בספר חגי, עת חגי מעורר את העם לבנות את בית ה', אחר שהעם ספונים בבתיהם ובית ה' חרב. וחגי אף מבהיר להם שהמצוקה הכלכלית הקשה שלהם נובעת מכך שבית ה' לא בנוי. 
חגי פונה אליהם ואומר:
""שימו נא לבבכם מן היום הזה ומעלה, מיום עשרים וארבעה לתשיעי, למן היום אשר יסד היכל ה' שימו לבבכם"". 
ומכאן הסיק ר' יעקב עמדין שם בספרו ""מור וקציעה"", שביום כ""ה בכסלו למחרתו חנכוהו בהדלקת המנורה ובהקרבת הקרבנות:
""בטעם חנוכה נראה לי דבר חדש בעז""ה שנקרא כן ע""ש חינוך ההיכל שהיה בזמן הזה (כ""ה כסלו) בימי חגי הנביא. ככתוב בנבואתו שבעשרים וארבעה לתשיעי שהוא כסלו הוסד, ולמחרתו חנכוהו בהקרבה [אע""פ שלא נבנה הבית עדיין כדאיתא במדרש, וכעניין שאמרו מקריבין אע""פ שאין בית] ובהדלקה מבערב, שאין מחנכין המנורה אלא בין הערבים, כמו ששנינו במנחות וע""ש חנוכת הבית נקראים ימי נס הנרות שאירע באותו פרק - חנוכה. ויש מכאן סעד גדול למה שנהגו לעשות סעודות ולהרבות קצת שמחה, והאחרונים ז""ל נדחקו בכל זה. ועם זה אני מיישב ג""כ קושיית הבית-יוסף שהיה ראוי לבל יהא ראשון מן השמונה ימים מן המנין, ואומר אני שעשו זכרון ליום ראשון לכבוד ההיכל שהדליקו בו תחילה בבית שני. וזה נכון מאד עד שלא שערוהו הקודמים"".
אמנם אכן יש מן הדוחק לבאר כדבריו של ר' יעקב עמדין, שהחשמונאים נתנו את השם ""חנוכה"" על אשר אירע כמאתים שנה קודם לכן - חנוכת בית שני, אולם, ננסה אכן לילך בדרכו של ר' יעקב עמדין, אך באופן שונה.

האם הייתה השראת שכינה בבית שני?
על הפסוק בספר חגי:
""כה אמר ה' צבאות שימו לבבכם על דרכיכם עלו ההר והבאתם עץ ובנו הבית וארצה בו ואכבד אמר ה""'.

באה על כך דרשת חז""ל: 
""ואמר ר' שמואל בר איניא מאי דכתיב וארצה בו ואכבד קרינן ואכבדה מאי שנא דמחוסר 'הא' - אלו חמישה דברים שהיו בין מקדש ראשון למקדש שני ואלו הן: ארון וכרובים, אש ושכינה ורוח הקודש ואורים ותומים"".
הרי עולה מתוך דברי חז""ל שבית שני חסרה בו השראת השכינה. אמנם, כאשר העם מרגיש הרגשת קטנות ואפסות בבנותו את הבית השני לעומת הבית הראשון - או אז חגי מנבא להם:
""כי כה אמר ה' צבאות עוד אחת מעט היא ואני מרעיש את השמים ואת הארץ את הים ואת החרבה והרעשתי את כל הגוים ובאו חמדת כל הגוים ומלאתי את הבית הזה כבוד אמר ה' צבאות"". 
ורש""י בפירושו שם ביאר:
""עוד אחת מעט - משתכלה מלכות פרס זו המושלת, עוד אחת תקום למשול עליכם להצר לכם מן מלכות יון ומעט יהא זמן ממשלתה, ואני מרעיש בנסים הנעשים לבני חשמונאי את השמים ויבינו ששכינתי שורה בבית זה ויביאו תשורת כסף וזהב"". 
לכאורה הדברים סותרים, שהרי רש""י עצמו הביא את דברי הגמ' במסכת יומא הנ""ל, שבבית שני הייתה חסרה שכינה. והדברים לכאורה סותרים זה את זה. גם דברי ה""אורחות חיים"" שהביאם ה""בית-יוסף"" נראים כסותרים דברי הגמ' ביומא הנ""ל:
""ובספר אורחות חיים כתב ש'המחזיר שכינתו לציון' - אמרו כשחזרה שכינה בבית שני"". 
ומשמע דבבית שני חזרה שכינה כדברי הגמ' ביומא. 
מדוע לא שרתה שכינה בבית שני? 
את הטעם שלא שרתה שכינה בבית שני נימקה הגמ' במסכת יומא:
""ריש לקיש הוי סחי בירדנא, אתא רבה בר בר חנה יהב ליה ידא. אמר ליה: א-להא סנינא לכו, דכתיב 'אם חומה היא נבנה עליה טירת כסף ואם דלת היא נצור עליה לוח ארז', אם עשיתם עצמכם כחומה ועליתם כולכם בימי עזרא - נמשלתם ככסף, שאין רקב שולט בו, עכשיו שעליתם כדלתות נמשלתם כארז שהרקב שולט בו...כי אתא לקמיה דרבי יוחנן אמר ליה: לאו היינו טעמא, אי נמי סליקו כולהו בימי עזרא לא הוה שריא שכינה במקדש שני, דכתיב 'יפת אלהים ליפת וישכן באהלי שם' - אף על גב דיפת א-להים ליפת אין השכינה שורה אלא באהלי שם"". 
הרי שלריש לקיש הטעם שלא שרתה שכינה בבית שני הוא מפני שלא עלו כולם בימי עזרא. אמנם ר' יוחנן דוחהו ואומר שהטעם הוא מפני שבית שני היה אהלי יפת, שכן כורש מלך פרס הוא שבנאו ואין השכינה שורה אלא באהלי שם. וברור שאין הכוונה שבגלל שכורש הוא אשר בנה פיסית את הבית השני, שכן גם שלמה המלך בנה את הבית הראשון ע""י חירם מלך צור ואנשיו. אלא שהם נתקיימו תחת שלטון כורש ולאחר מכן תחת שלטון יון, ולא הייתה להם בימי בית שני עצמאות מדינית. יתרה מכך, לא הייתה בימי בית שני עצמאות רוחנית, היחס בין הקב""ה לבין כנסת ישראל היה רופף, אלפי יהודים התחתנו בנשואי תערובת שהיו נפוצים מאוד (אפילו בנו של יהושע כהן-גדול התחתן עם בת מנהיג הכותים) והם הם הגורמים לדברי ר' יוחנן להעדר השראת שכינה בבית שני - חוסר עצמאות מדינית וחוסר עצמאות רוחנית. ומעתה בימי החשמונאים - או אז חזרה מלכות לישראל וכדברי הרמב""ם בהלכות חנוכה: 
""בבית שני כשמלכי יון גזרו גזרות על ישראל... וצר להם לישראל מאד מפניהם ולחצום לחץ גדול עד שריחם עליהם א-להי אבותינו והושיעם מידם והצילם, וגברו בני החשמונאים הכהנים הגדולים והרגום והושיעו ישראל מידם והעמידו מלך מן הכהנים וחזרה מלכות לישראל יתר על מאתיים שנה עד החרבן השני"".
הרי בימי החשמונאים חזרה המלכות לישראל, אבל לא רק המלכות והעצמאות המדינית, אלא גם העצמאות הרוחנית, וכנסת ישראל עברה שינוי מהותי ביחסה להקב""ה, וכלל ישראל התחיל להאמין בבחירת ישראל מן האומות והחל בשמירת התורה והמצוות.
או-אז כשחזרה המלכות לישראל עבר הבית מהיות ""אהלי יפת"" ל""אהלי שם"", ונתקיים בו ""וישכון באהלי שם"" וחזרה שכינה לשרות בישראל, הן המה דברי ה""אורחות חיים"" הנ""ל ש""המחזיר שכינתו לציון אמרו כשחזרה שכינה בבית שני"". 
החשמונאים במעשיהם ע""י השתדלותם לעצמאות הרוחנית, הם המה שגרמו שתשרה שכינה בישראל וכדאיתא בזוה""ק:
""בית ראשון שכינתא עילאה ובבית שני שכינתא תחתאה"".
בבית ראשון שרתה השכינה מאליה, אך בבית שני שרתה השכינה רק מחמת ההתערותא דלתתא של בני החשמונאים, רק לאחר שהם במעשיהם הפכו את הבית מ""אהלי יפת"" ל""אהלי שם"".
והנה בגמ' ביומא הנ""ל אמרינן שלא הייתה אש במקדש שני, ומסקנת הסוגיא שם שהיתה אמנם אש ע""ג המזבח, אך לא הייתה מסייעת באכילת הקרבנות. לעומת זאת בספר החשמונאים מתוארת אכילת האש בזמן החשמונאים : 
""ואחר אשר הוכן הדרוש לזבחים, אמר נחמיה לכהנים לזרוק מן המים על העצים ועל אשר עליהם וכאשר נעשה הדבר הזה, ועבר זמן מה והשמש המעוננת לפני מזה זרחה, התלקחה אש גדולה וכולם השתוממו"".
הרי שבימי החשמונאים חזרה האש לסייע באכילת הקרבנות. שכן חזרה שכינה לשרות בבית המקדש - ואשר על-כן ברכו ""המחזיר שכינתו לציון"". 
ופה טמון פשר הסתירה בדבר רש""י הנ""ל בפירושו לספר חגי. אכן עד ימי חגי לא שרתה שכינה. אבל עוד אחת מעט ואני מרעיש בנסים הנעשים לבני חשמונאי את השמים - ואז יבינו ששכינתי שורה בבית זה, אז - כשהבית יהפך מ""אהלי יפת"" ל""אהלי שם"".
וא""כ בכ""ה בכסלו אכן עשו בימי החשמונאים חנוכת היכל ה' במהדורא בתרא, אבל לא כדעת ר' יעקב עמדין שנקרא חנוכה ע""ש חנוכת ההיכל בימי חגי, אלא על חנוכת הבית בחזרת השכינה בימי חשמונאים.
ואכן בימי עזרא עת חנכו את הבית הייתה זו חנוכת לבית מצומצמת, שכן חסרה אז השראת השכינה, ובימי החשמונאים עת שבה השראת השכינה - חנכו את הבית על החזרת השכינה, וקבעו את ימי החנוכה על השראת השכינה בישראל.
ומעתה, מכיוון שהשם חנוכה ע""ש חנוכת הבית על השראת השכינה - קבעו זאת חז""ל בהדלקת הנרות, אשר היא היא המציינת את השראת השכינה בישראל וכדבר הגמרא במס' שבת: 
""מחוץ לפרכת יערוך אותו וכי לאורה הוא צריך והלא כל ארבעים שנה שהלכו בני-ישראל במדבר לא הלכו אלא לאורו? אלא עדות היא לבאי עולם שהשכינה שורה בישראל"".
הדלקת המנורה - והחנוכיה היא הסמל לדורות על החזרת השכינה לישראל והיא המסמלת שהשראת השכינה תלויה במעשינו אנו.
ומתקשרים הדברים עם דברי ""יסוד ושורש העבודה"", שהביא בשם תיקוני הזוהר: 
""תמניא יומי דחנוכה לארבעה ועשרים יומין (אחרי כ""ד ימים בחודש כסלו) דאינון ברוך שם כבוד מלכותו לעולם ועד (דהיינו שיש בו כ""ד אותיות) שרייה כ""ה (דהינו השכינה הקדושה), על ישראל בכ""ה כסלו, ואלין אינון כ""ה אתוון דיחודא דאינון שמע ישראל. ודא איהו חנוכה חנו כה (והיינו כי גם פסוק זה של ""שמע ישראל"" - יש בו כ""ה אותיות)"". 
השכינה היא המנורה כ""ה - חנו בכ""ה - כלומר שימים אלו הם הם הימים שבהם היתה השראת השכינה בישראל.
ציון דברי הגמ' על נס פך השמן גם הוא הסימן שחזרה השכינה לבית המקדש.
חנוכה כנגד סוכות 
בספר ""שפת אמת"" כתב שחנוכה הוא האור המקבל מימי חג הסוכות: 
""חנוכה ופורים הם הארות מרגלים, רק הג' רגלים המפורשים בתורה הם תורה שבכתב, ויש נגד זה ג""כ רגלים מהתורה שבע""פ. והם אורות המקבלים כדמיון אור הלבנה שהיא מאור החמה כידוע. כן ע""י כוחן של בני ישראל בקבלתם היו""ט כראוי, נשאר מכל יו""ט רשימה בכנסת ישראל... וחנוכה הארה מחג הסוכות, ופורים מחג השבועות, ומחג הפסח מקוים אנו להיות עוד כמ""ש כימי צאתך מארץ מצרים אראנו נפלאות..."".
ואם ברור הקשר שבין חג לשבועות לימי לפורים, שחג השבועות מתן תורה ע""י הקב""ה, ופורים בכוח כנסת לשראל - ""הדר קיבלוה בימי אחשורוש"", אך מדוע הארת החנוכה יונקת היא את כוחה דווקא מחג הסוכות? אמנם לדברינו מאירים הדברים, שכן סוכות ע""ש ענני הכבוד - על השראת השכינה - שהקב""ה השרה בתוכנו, וחנוכה היא ההארה - התורה שבע""פ - שבני החשמונאים ע""י פועל מעשיהם הם הם שהשרו את השכינה בישראל.
""אור חדש על ציון תאיר ונזכה כולנו מהרה לאורו"".","המאמר דן במשמעות השם ""חנוכה"" ובמהות החג, ומסביר כי עיקרו אינו רק בזכר חנוכת המזבח או נס פך השמן, אלא בחזרת השכינה לישראל בימי החשמונאים, לאחר תקופה של חוסר עצמאות מדינית ורוחנית. הדלקת הנרות מסמלת את השראת השכינה בישראל, שנקנתה במעשה החשמונאים, והיא עיקר תוכן החג ומהותו.",,,,3,3/22/2026 7:54pm,4/15/2026 6:26am,פעיל,1,1
