מזהה קטגוריה,שם,שם באנגלית,סטטוס,טבלה,שיעורי וידאו,שאלות,אירועים,שיעורים,מאמרים
1,חינוך,,פעיל,"מאמרים,שאלות",,"3,16",,,"איזהו מכובד? המכבד את הבריות.,איך גורמים לילד להיות שמח,""בשעה שמצה ומרור מונחים לפניך"""" - הדוגמא האישית היבט חינוכי להגדה"",דיינו,החניה קרויה מסע,החרוב והמעין,""השאלה היא: """"מה הש""""ס לימד אותך"""""",השפעת האוכל על הילד,ובשעת הסכנה – מניחה על שולחנו,כך מחנכים להרגיש בצער הזולת,חודש אלול - חודש התשובה - לאן שבים ?,חינוך לתפילה – לא לחנך מידי,חנוך לנער על פי דרכו,חנוכה מלשון חינוך,היינו כחולמים - נמשיך לחלום,ימים נוראים כמנוף לחינוך לנטילת אחריות,כי האדם עץ השדה,כיצד יצא החפץ חיים כך ?,כיצד מחנכים ילדים להצטער על חורבן בית המקדש,""לא מאוחר ללקק את הדבש שע""""ג האותיות"",לכל אחד יש את 'השכם' שלו,""""""לכו בנים"""" - לקראת ימי החופשה ובין הזמנים"",""אם היו בני אדם מרגישין במתיקות התורה, היו משתגעים אחריה"",מה חשוב יותר המילים או המנגינה ?,""""""מקל נועם ומקל חובלים"""""",מרבים לחנך לשמחה,""""""עִמּוֹ אָנֹכִי"""""",""""""שלא נהגו כבוד"""" – לכבד את הילד"",""""""שמע בני מוסר אביך ואל תטוש תורת אמך"""""",""""""תפילה צריך לכל דבר"""" (צדקת הצדיק סו)"""
2,כשרות,,פעיל,שאלות,,"11,15",,,
3,מועדים,,פעיל,"מאמרים,שיעורי וידאו","ליל הסדר בהלכה ובאגדה - שיעור בישיבת ברכת משה מעלה אדומים,מצה על שום מה,פסח בימי יאשיהו המלך,בין ראשון לשביעי של פסח,שיחת התעוררות ליום כיפור,• הרב קלמן בר כל המתאבל על ירושלים זוכה ורואה בשמחתה אהבת ישראל מבית ישיבת הכותל,והגדת לבנך",10,,,"מאי חנוכה?,חנוכה מלשון חינוך,פשטו ידם בממונם,מעשה אבות סימן לבנים - מעשה דינה סימן לחשמונאים כל שאירע לאבות – אירע לבנים,סוכות בבית?,קהלת בחג הסוכות,סגוליך עת צמאו למים על הסלע הך ויצאו מים- תפילת גשם - שמיני עצרת,שלא נהגו כבוד,מרדכי לא יכרע ולא ישתחוה,""""""בשעה שמצה ומרור מונחים לפניך"""" - הדוגמא האישית"",האם אתה עבד או בן חורין,ואחרי כן יצאו ברכוש גדול,והגדת - והדגמת סיפור יציאת מצרים,חג הפסח -חג האחדות,""""""כימי צאתך מארץ מצרים אראנו נפלאות"""""",""""""ולא יהיה בכם נגף למשׁחית"""""",""קורס פרשה ופשרה בנושא דצ""""ך עד""""ש באח""""ב"",וְלֹא יִהְיֶה בָכֶם נֶגֶף לְמַשְׁחִית,יום חתונתו – יום מתן תורה,""""""נגלית עליהם בערפלי טהר"""""",יום חתונתו - יום מתן תורה,""""""בכסה ליום חגנו"""""",השיבה והשביתה בשבת שבתון/ עיון בספר יונה,מועדי ירח האיתנים,תקיעה של שבת,סודו של השופר,תפילת ראש השנה מחוללת מהפך/ עיון בתפילת חנה"
4,"תנ""ך",,פעיל,"מאמרים,שיעורי וידאו","המרגלים,שמש בגבעון דום וירח בעמק אילון,העיר יריחו,תפילת חנה,שמשון הגבור,מה רגשו גויים?! על מערכות ישראל ופלישתים",,,,"ארץ גושן/ פרשת ויגש,לישועתך קיויתי ה׳/ פרשת ויחי,""ב״ביום חתונתו- זה מתן תורה, וביום שמחת ליבו- זה בית המקדש״/ פרשת תרומה"",ביום שהושיבו את רבי אלעזר בן עזריה בישיבה- שהקהלת מטמא את הידים,בין שאול לדוד במלחמה עם פלישתים- חלק ב׳/ פרשת תולדות,ברב בישר_ ברב בישרהו/ פרשת ואתחנן,ברכת שבת/ פרשת בראשית"
7,דרשה,,פעיל,שיעורים,,,,דרשת שבת הגדול,
10,הלכה,,,שיעורי וידאו,שיעור בישיבת בית אל,,,,
11,שיעור,,,שיעורי וידאו,"""שיעור """"יום ירושלים"""", ישיבת מרכז הרב"",""שבוע חזרה שיעור כללי הרב הראשי לישראל הגאון הרב קלמן מאיר בר שליט""""א ישיבת הכותל"",""• שבוע חזרה - מסכת בבא קמא שיעור כללי הרב הראשי לישראל הגאון הרב קלמן מאיר בר שליט""""א ישיבת הכותל""",,,,
12,פרשת שבוע,,,שיעורי וידאו,"""פרשת בראשית, ברכת שבת"",""פרשת נח, בהפרידו בני אדם"",""פרשת לך לך, ראה לגברת אמת שפחה נואמת"",""פרשת וירא, פרשת העקדה"",""פרשת חיי שרה, הניסיון בקבורת שרה"",""פרשת תולדות, המאבק עם הפלשתים על ארץ ישראל"",""פרשת ויצא, צא ולמד מה ביקש לבן הארמי"",""פרשת וישלח, ויעבור את מעבר יבק"",""פרשת וישב, הלא אחיך רועים בשכם"",""פרשת מקץ, כל ישראל נקראים על שם יוסף"",""פרשת ויגש, פיוס יוסף לאחיו"",""פרשת ויחי, לישועתך קויתי ה'- לדמותו של שמשון"",""פרשת שמות, פרשת הרכוש הגדול"",""פרשת וארא, הסימנים של המכות"",""פרשת בא, מצה על שום מה"",""פרשת בשלח, שירה חדשה"",""פרשת יתרו, יום חתונתו"",""פרשת כי תשא, כפרת מחצית השקל"",פרשת בעלותך,פרשת שלח לך",,,,
